,company,Title,cluster
120,統一,因言獲罪被判18年「大陸前地產大亨」任志強入獄照首度曝光| 聯合新聞網 - udn.com,1
75,聯發科,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - 經濟日報,0
76,聯發科,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
78,聯發科,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
80,聯發科,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
82,聯發科,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
73,聯發科,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
74,聯發科,經濟衰退隱憂 台積電下殺9元 台股暴跌逾170點 - 中時新聞網 Chinatimes.com,1
77,聯發科,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
79,聯發科,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
81,聯發科,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
83,聯電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
84,聯電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - 經濟日報,0
87,聯電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
89,聯電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
91,聯電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
85,聯電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,1
86,聯電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,1
88,聯電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,1
90,聯電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,1
69,萬海,經濟衰退隱憂 台積電下殺9元 台股暴跌逾170點 - 中時新聞網 Chinatimes.com,0
68,萬海,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
70,萬海,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
71,萬海,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
72,萬海,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
55,貿聯-KY,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
56,貿聯-KY,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - 經濟日報,0
57,貿聯-KY,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
58,貿聯-KY,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
59,貿聯-KY,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
38,長榮,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,0
39,長榮,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,0
40,長榮,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,0
41,長榮,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,0
37,長榮,經濟衰退隱憂 台積電下殺9元 台股暴跌逾170點 - 中時新聞網 Chinatimes.com,1
63,陽明,「德東飆速王」撞1死2傷 拒認罪辯：死者未注意來車 檢方起訴 - 中時新聞網 Chinatimes.com,0
65,陽明,「德東飆速王」撞1死2傷 拒認罪辯：死者未注意來車 檢方起訴 - 中時新聞網 Chinatimes.com,0
67,陽明,「德東飆速王」撞1死2傷 拒認罪辯：死者未注意來車 檢方起訴 - 中時新聞網 Chinatimes.com,0
60,陽明,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
61,陽明,經濟衰退隱憂 台積電下殺9元 台股暴跌逾170點 - 中時新聞網 Chinatimes.com,1
62,陽明,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
64,陽明,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
66,陽明,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,1
